Name,Address
Adams Street Library,"9 Adams Street (between John and Plymouth) Brooklyn, NY 11201"
Arlington Library,"203 Arlington Ave. at Warwick St. Brooklyn, NY 11207"
Bay Ridge Library,"7223 Ridge Blvd. at 73rd St. Brooklyn, NY 11209"
Bedford Library,"496 Franklin Avenue Brooklyn, NY 11238"
Bedford Library Learning Center,"496 Franklin Avenue Brooklyn, NY 11238"
Borough Park Library,"1265 43rd St. at 13th Ave. Brooklyn, NY 11219"
Brighton Beach Library,"16 Brighton First Rd. at Brighton Beach Ave. Brooklyn, NY 11235"
Brooklyn Heights Library,"286 Cadman Plaza West Brooklyn, NY 11201"
Brower Park Library,"155 Brooklyn Ave Brooklyn, NY 11213"
Brownsville Library,"61 Glenmore Ave. at Watkins St. Brooklyn, NY 11212"
Bushwick Library,"340 Bushwick Avenue Brooklyn, NY 11206"
Canarsie Library,"1580 Rockaway Pkwy. at Ave. J Brooklyn, NY 11236"
Carroll Gardens Library,"396 Clinton St. Brooklyn, NY 11231"
Center for Brooklyn History,"128 Pierrepont Street Brooklyn, NY 11201"
Central Library,"10 Grand Army Plaza Brooklyn, NY 11238"
Central Library Learning Center,"10 Grand Army Plaza Brooklyn, NY 11238"
Clarendon Library,"2035 Nostrand Ave. Brooklyn, NY 11210"
Clinton Hill Library,"380 Washington Ave. at Lafayette Ave. Brooklyn, NY 11238"
Coney Island Library,"1901 Mermaid Ave. (Near W. 19th St.) Brooklyn, NY 11224"
Cortelyou Library,"1305 Cortelyou Rd. at Argyle Rd. Brooklyn, NY 11226"
Crown Heights Library,"560 New York Ave. at Maple St. Brooklyn, NY 11225"
Cypress Hills Library,"1197 Sutter Ave. at Crystal St. Brooklyn, NY 11208"
DeKalb Library,"790 Bushwick Ave. at DeKalb Ave. Brooklyn, NY 11221"
Dyker Library,"8202 13th Ave. (@ 82nd St.) Brooklyn, NY 11228"
East Flatbush Library,"9612 Church Ave Brooklyn, NY 11212"
Eastern Parkway Learning Center,"1044 Eastern Parkway - 2nd Floor Brooklyn, NY 11213"
Eastern Parkway Library,"1044 Eastern Pkwy. at Schenectady Ave. Brooklyn, NY 11213"
Flatbush Learning Center,"22 Linden Blvd. at Flatbush Ave. Brooklyn, NY 11226"
Flatbush Library,"22 Linden Blvd. at Flatbush Ave. Brooklyn, NY 11226"
Flatlands Library,"2065 Flatbush Ave. at Ave. P Brooklyn, NY 11234"
Fort Hamilton Library,"9424 Fourth Ave. Brooklyn, NY 11209"
Gerritsen Beach Library,"2808 Gerritsen Ave. Brooklyn, NY 11229"
Gravesend Library,"303 Ave. X at West. 2nd St. Brooklyn, NY 11223"
Greenpoint Library,"107 Norman Ave. at Leonard St. Brooklyn, NY 11222"
Highlawn Library,"1664 W. 13th St. Brooklyn, NY 11223"
Homecrest Library,"2525 Coney Island Ave. at Ave. V Brooklyn, NY 11223"
Jamaica Bay Library,"9727 Seaview Ave. at E. 98th St. near Rockaway Pkwy. Brooklyn, NY 11236"
Kensington Library,"4207 18th Avenue Brooklyn, NY 11218"
Kings Bay Library,"3650 Nostrand Ave. (near Ave. W) Brooklyn, NY 11229"
Kings Highway Library,"2115 Ocean Ave. Brooklyn, NY 11229"
Leonard Library,"81 Devoe St. at Leonard St. Brooklyn, NY 11211"
Macon Library,"361 Lewis Ave. at Macon St. Brooklyn, NY 11233"
Mapleton Library,"1702 60th Street Brooklyn, NY 11204"
Marcy Library,"617 DeKalb Ave. at Nostrand Ave. Brooklyn, NY 11216"
McKinley Park Library,"6802 Fort Hamilton Pkwy (at 68th St.) Brooklyn, NY 11219"
Midwood Library,"975 East 16th St. at Avenue J Brooklyn, NY 11230"
Mill Basin Library,"2385 Ralph Ave (near Ave N) Brooklyn, NY 11234"
New Lots Learning Center,"665 New Lots Avenue at Barbey St. Brooklyn, NY 11207"
New Lots Library,"665 New Lots Avenue at Barbey St. Brooklyn, NY 11207"
New Utrecht Library,"1743 86th St. at Bay 17th St. Brooklyn, NY 11214"
Pacific Library,"25 Fourth Ave. at Pacific St. Brooklyn, NY 11217"
Paerdegat Library,"850 E. 59th St. at Paerdegat Ave. South Brooklyn, NY 11234"
Park Slope Library,"431 6th Ave Brooklyn, NY 11215"
Red Hook Interim Library,"362 Van Brunt Street Brooklyn , NY 11231"
Rugby Library,"1000 Utica Ave. Brooklyn, NY 11203"
Ryder Library,"5902 23rd Ave. Brooklyn, NY 11204"
Saratoga Library,"8 Thomas S. Boyland St. at Macon St. Brooklyn, NY 11233"
Sheepshead Bay Library,"2636 E. 14th St. at Ave. Z Brooklyn, NY 11235"
Spring Creek Library,"12143 Flatlands Ave. at New Jersey Ave. Brooklyn, NY 11207"
Stone Avenue Library,"581 Mother Gaston Boulevard Brooklyn, NY 11212"
Sunset Park Library,"5108 Fourth Avenue Brooklyn, NY 11220"
Ulmer Park Library,"2602 Bath Avenue at 26th Ave Brooklyn, NY 11214"
Walt Whitman Library,"93 Saint Edwards Street Brooklyn, NY 11205"
Washington Irving Library,"360 Irving Ave. (at Woodbine St.) Brooklyn, NY 11237"
Williamsburgh Library,"240 Division Ave. at Marcy Ave. Brooklyn, NY 11211"
Windsor Terrace Library,"160 E. 5th St. at Ft. Hamilton Pkwy. Brooklyn, NY 11218"
